com.samsung.health.device_profile,7006003,9
manufacturer,providing_step_goal,create_sh_ver,step_source_group,device_type,backsync_step_goal,capability,modify_sh_ver,device_group,update_time,create_time,name,model,legacy_deviceuuid,connectivity_type,deviceuuid,pkg_name,accessory_type,fixed_name,datauuid
OnePlus,,,,,,,,360001,2025-07-19 16:24:03.976,2025-05-23 01:16:41.814,My Device,CPH2649,,,w4dMr03254,com.sec.android.app.shealth,,OnePlus 13,98a0e381-b2a6-8b4c-0a3e-206ee084ce88,
Combined,,,,,,,,0,2025-05-23 01:16:53.356,2025-05-23 01:16:53.356,Combined,Combined,,,VfS0qUERdZ,com.sec.android.app.shealth,,,7af9722c-cd99-07b7-853a-43ce58e819c5,
all_target,,,,,,,,0,2025-05-23 01:16:53.462,2025-05-23 01:16:53.462,all_target,all_target,,,Mk66SbFqK1,com.sec.android.app.shealth,,,471ca32b-a665-1e9e-7c27-7ac69485dc05,
OnePlus,,,,,,,,360001,2019-09-30 23:05:07.620,2019-09-30 23:05:07.620,My Device,ONEPLUS A5000,,,e/aPUWpNiJ,com.sec.android.app.shealth,,OnePlus 5,dffd9982-0f6e-88e0-26ff-06a37e63d729,
Samsung,,,,,,,,360001,2022-05-22 02:12:30.945,2021-06-21 04:42:29.306,My Device,SM-G996B,,,aqfQc5yGC4,com.sec.android.app.shealth,,Nimish's S21+,1e013edc-c1bf-ff81-4553-3502fd4ee797,
Samsung Electronics,1,,18,10045,1,766b9d77-2ea5-03bc-f24f-47cb500519ae.capability.json,62701610,360003,2024-07-26 05:37:51.764,2021-06-21 04:42:29.306,Galaxy Watch,SM-R800,,,S7Wp0spWno,com.sec.android.app.shealth,,Nimish's S21+,766b9d77-2ea5-03bc-f24f-47cb500519ae,
Samsung Electronics,1,,109,10062,1,b8bcab95-4bb4-4017-8f60-92b213efd9d2.capability.json,62950170,360003,2025-05-23 01:54:52.365,2024-06-21 14:55:34.057,Galaxy Watch Ultra,SM-L705F,,,Y4t2FxnDL4,com.sec.android.app.shealth,,,b8bcab95-4bb4-4017-8f60-92b213efd9d2,
Samsung Electronics,1,,109,10062,1,35ab5153-01fe-4170-8831-18ec42c4fa41.capability.json,63020310,360003,2025-07-11 05:39:51.380,2025-05-27 11:03:30.478,Galaxy Watch Ultra,SM-L705F,,,KDw1iKzeM0,com.sec.android.app.shealth,,,35ab5153-01fe-4170-8831-18ec42c4fa41,
Samsung Electronics,1,,109,10062,1,70ea6512-4218-4cbf-b9e0-4bdf73968465.capability.json,63060070,360003,2025-11-13 04:42:52.780,2025-07-20 01:23:24.668,Galaxy Watch Ultra,SM-L705F,,,Q+CzYexHJ2,com.sec.android.app.shealth,,,70ea6512-4218-4cbf-b9e0-4bdf73968465,
Samsung Electronics,1,,109,10062,1,50a51b01-825a-4441-803e-8033a5ed1e36.capability.json,,360003,2025-12-22 14:26:10.195,2025-11-25 01:29:30.142,Galaxy Watch Ultra,SM-L705F,,,mP8yc45n7o,com.sec.android.app.shealth,,,50a51b01-825a-4441-803e-8033a5ed1e36,
Samsung Electronics,1,,109,10062,1,d4d7149d-1f1c-43df-b8d8-250f03736e14.capability.json,63070030,360003,2026-01-22 09:30:44.925,2026-01-22 08:27:46.715,Galaxy Watch Ultra,SM-L705F,,,C5JmDaYRZ4,com.sec.android.app.shealth,,OnePlus 13,d4d7149d-1f1c-43df-b8d8-250f03736e14,
Samsung Electronics,1,,109,10062,1,e86f288d-c5b6-4f85-b12a-55fae0ed5057.capability.json,63110130,360003,2026-03-19 03:26:02.381,2026-01-23 01:45:26.410,Galaxy Watch Ultra,SM-L705F,,,zqeK1JMuMn,com.sec.android.app.shealth,,,e86f288d-c5b6-4f85-b12a-55fae0ed5057,
Samsung Electronics,1,,109,10062,1,2a451ef2-315b-49a3-9d0a-362c2942b055.capability.json,70060030,360003,2026-07-29 14:10:10.430,2026-03-31 00:50:01.168,Galaxy Watch Ultra,SM-L705F,,,NtSgKtj6xT,com.sec.android.app.shealth,,,2a451ef2-315b-49a3-9d0a-362c2942b055,
Samsung Electronics,,,,,,,,360003,2026-06-27 07:46:22.905,2026-06-27 07:46:22.905,Strava,www.strava.com,,,yStXxSGwkp,com.sec.android.app.shealth,,OnePlus 13,bfa3be53-4565-2fc4-3455-4a2c177b14df,
