com.samsung.health.movement,7006003,1
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62701231,2024-07-24 08:21:00.000,,f30d254f-7eac-4342-b6a2-a6e6bfda44e6.binning_data.json,62701231,2024-07-24 08:35:29.263,2024-07-24 08:35:29.263,UTC+0530,Y4t2FxnDL4,,com.sec.android.app.shealth,2024-07-24 08:40:59.999,f30d254f-7eac-4342-b6a2-a6e6bfda44e6,
62701231,2024-07-24 10:00:00.000,,5354f247-64be-47c0-aa66-eaaef084f690.binning_data.json,62701231,2024-07-24 11:17:40.392,2024-07-24 10:17:26.393,UTC+0530,Y4t2FxnDL4,,com.sec.android.app.shealth,2024-07-24 10:59:59.999,5354f247-64be-47c0-aa66-eaaef084f690,
62701231,2024-07-24 09:37:00.000,,ff130751-48f6-4d2d-b596-c77d378cfd79.binning_data.json,62701231,2024-07-24 10:17:26.355,2024-07-24 09:57:22.677,UTC+0530,Y4t2FxnDL4,,com.sec.android.app.shealth,2024-07-24 09:59:59.999,ff130751-48f6-4d2d-b596-c77d378cfd79,
62701231,2024-07-24 11:00:00.000,,d912e1b7-d0d3-4070-9d61-765a1566ecd3.binning_data.json,62701231,2024-07-24 12:05:59.905,2024-07-24 11:17:40.487,UTC+0530,Y4t2FxnDL4,,com.sec.android.app.shealth,2024-07-24 11:59:59.999,d912e1b7-d0d3-4070-9d61-765a1566ecd3,
62701231,2024-07-24 12:00:00.000,,9472d1ef-081c-4195-9268-a9e1c9f5b28c.binning_data.json,62701231,2024-07-24 13:06:12.965,2024-07-24 12:05:59.925,UTC+0530,Y4t2FxnDL4,,com.sec.android.app.shealth,2024-07-24 12:59:59.999,9472d1ef-081c-4195-9268-a9e1c9f5b28c,
62701231,2024-07-24 13:00:00.000,,5deb75aa-a4df-4024-9660-d42882229337.binning_data.json,62701231,2024-07-24 14:00:21.246,2024-07-24 13:06:12.973,UTC+0530,Y4t2FxnDL4,,com.sec.android.app.shealth,2024-07-24 13:59:59.999,5deb75aa-a4df-4024-9660-d42882229337,
62701231,2024-07-24 14:00:00.000,,7d886904-6d40-4040-8d0a-afbd581052be.binning_data.json,62701231,2024-07-24 15:00:33.600,2024-07-24 14:20:25.554,UTC+0530,Y4t2FxnDL4,,com.sec.android.app.shealth,2024-07-24 14:59:59.999,7d886904-6d40-4040-8d0a-afbd581052be,
62701231,2024-07-24 15:00:00.000,,9c34ef00-665e-4fb2-bdae-56e233143e98.binning_data.json,62701231,2024-07-24 16:00:45.674,2024-07-24 15:20:36.965,UTC+0530,Y4t2FxnDL4,,com.sec.android.app.shealth,2024-07-24 15:59:59.999,9c34ef00-665e-4fb2-bdae-56e233143e98,
62701231,2024-07-24 18:00:00.000,,d956871a-aea3-45a7-ac75-df0ef8762078.binning_data.json,62701231,2024-07-24 19:07:11.377,2024-07-24 18:06:54.908,UTC+0530,Y4t2FxnDL4,,com.sec.android.app.shealth,2024-07-24 18:59:59.999,d956871a-aea3-45a7-ac75-df0ef8762078,
62701231,2024-07-24 19:00:00.000,,76889d91-0a69-4959-a4d0-89367a44b427.binning_data.json,62701231,2024-07-24 20:07:27.913,2024-07-24 19:07:11.402,UTC+0530,Y4t2FxnDL4,,com.sec.android.app.shealth,2024-07-24 19:59:59.999,76889d91-0a69-4959-a4d0-89367a44b427,
