com.samsung.shealth.badge,7006003,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
,2023-07-26 18:30:00.000,,100003,1,,2023-07-27 15:51:02.280,2023-07-27 15:51:02.280,com.sec.android.app.shealth,step_milestone_10k_steps,,,UTC+0530,7589.746001029929,aqfQc5yGC4,com.sec.android.app.shealth,,tracker.pedometer,2023-07-26 18:30:00.000,22ba4c37-5528-4f2d-8549-18db9630e186,
,2023-07-31 07:29:38.924,15005,,1,,2023-07-31 07:48:20.178,2023-07-31 07:48:19.645,,exercise_goal_first_achieve,,1,UTC+0530,,aqfQc5yGC4,com.sec.android.app.shealth,eb683879-16e9-4caf-8caf-db2b640092b4,tracker.exercise,2023-07-31 07:48:19.630,093f3465-3a9f-439d-9717-ae1402688ab9,
1,2024-07-24 18:30:00.000,,,1,,2024-07-25 01:36:06.443,2024-07-25 01:36:06.443,,sleep_excellent_sleep,,,UTC+0530,,aqfQc5yGC4,com.sec.android.app.shealth,,Sleep.Goal,2024-07-25 18:29:59.999,a647330b-a59f-4c27-8474-fc059aaf67fa,
1,2024-07-24 18:30:00.000,,,1,,2024-07-25 01:36:06.454,2024-07-25 01:36:06.454,,sleep_goal_first_sleep,,,UTC+0530,,aqfQc5yGC4,com.sec.android.app.shealth,,Sleep.Goal,2024-07-25 18:29:59.999,0e66e511-1ca7-43cd-92cd-105c1779a8c8,
1,2024-07-26 18:30:00.000,,,1,,2024-07-27 02:13:15.543,2024-07-27 02:13:15.543,,sleep_good_sleep,,,UTC+0530,,aqfQc5yGC4,com.sec.android.app.shealth,,Sleep.Goal,2024-07-27 18:29:59.999,2115a974-4026-4cd5-8136-47a3e90c015f,
,2024-07-27 04:08:09.131,15002,,1,,2024-07-27 04:47:30.814,2024-07-27 04:47:30.814,,exercise_goal_first_achieve,,,UTC+0530,,Y4t2FxnDL4,com.sec.android.app.shealth,9976c544-5e8f-415c-a891-b81621ca134f,tracker.exercise,2024-07-27 04:47:30.638,c9bac781-f09b-4b3c-a90d-52a318c7c338,
1,2024-07-29 18:30:00.000,,,1,,2024-07-30 01:58:44.609,2024-07-30 01:58:44.609,,sleep_excellent_sleep,,,UTC+0530,,aqfQc5yGC4,com.sec.android.app.shealth,,Sleep.Goal,2024-07-30 18:29:59.999,7f816f71-5612-4586-bd83-2fb1be932812,
1,2024-07-31 18:30:00.000,,,1,,2024-08-01 01:01:30.844,2024-08-01 01:01:30.844,,sleep_excellent_sleep,,,UTC+0530,,aqfQc5yGC4,com.sec.android.app.shealth,,Sleep.Goal,2024-08-01 18:29:59.999,4e2d3a81-4f58-4aca-8b52-f1b3b512d12e,
,2024-08-07 04:10:52.991,0,,1,,2024-08-07 05:03:17.650,2024-08-07 05:03:17.650,,exercise_goal_first_achieve,,,UTC+0530,,Y4t2FxnDL4,com.sec.android.app.shealth,1b1886c2-4d91-4950-a3df-5324301d12f5,tracker.exercise,2024-08-07 05:03:17.385,4dac3b2c-daa8-458c-a5cb-693d6db77446,
1,2024-08-08 18:30:00.000,,,1,,2024-08-09 00:59:09.687,2024-08-09 00:59:09.687,,sleep_excellent_sleep,,,UTC+0530,,aqfQc5yGC4,com.sec.android.app.shealth,,Sleep.Goal,2024-08-09 18:29:59.999,f7efbd36-365f-4c74-8d2b-482bc0db5116,
1,2024-08-11 18:30:00.000,,,1,,2024-08-12 01:14:31.974,2024-08-12 01:14:31.974,,sleep_excellent_sleep,,,UTC+0530,,aqfQc5yGC4,com.sec.android.app.shealth,,Sleep.Goal,2024-08-12 18:29:59.999,e0065f7e-8d44-4624-9fdf-5536eb6f01f7,
1,2024-08-15 18:30:00.000,,,1,,2024-08-16 00:47:54.768,2024-08-16 00:47:54.768,,sleep_excellent_sleep,,,UTC+0530,,aqfQc5yGC4,com.sec.android.app.shealth,,Sleep.Goal,2024-08-16 18:29:59.999,06811b3e-864f-4c80-81e5-e76f88122a15,
1,2024-08-18 18:30:00.000,,,1,,2024-08-19 01:12:18.268,2024-08-19 01:12:18.268,,sleep_excellent_sleep,,,UTC+0530,,aqfQc5yGC4,com.sec.android.app.shealth,,Sleep.Goal,2024-08-19 18:29:59.999,685960f6-3f2a-46af-a9cc-84c3def1dfea,
1,2024-08-20 18:30:00.000,,,1,,2024-08-21 01:24:24.342,2024-08-21 01:24:24.342,,sleep_excellent_sleep,,,UTC+0530,,aqfQc5yGC4,com.sec.android.app.shealth,,Sleep.Goal,2024-08-21 18:29:59.999,634d74b4-e07a-4513-bcb0-eb42725e471c,
1,2024-08-22 18:30:00.000,,,1,,2024-08-23 00:34:32.702,2024-08-23 00:34:32.702,,sleep_excellent_sleep,,,UTC+0530,,aqfQc5yGC4,com.sec.android.app.shealth,,Sleep.Goal,2024-08-23 18:29:59.999,9db49a09-6343-47b4-ae67-62e7367f01cd,
1,2024-08-24 18:30:00.000,,,1,,2024-08-25 03:05:40.040,2024-08-25 03:05:40.040,,sleep_excellent_sleep,,,UTC+0530,,aqfQc5yGC4,com.sec.android.app.shealth,,Sleep.Goal,2024-08-25 18:29:59.999,d5b0dfc4-68f0-45e4-929f-1ac969defe50,
1,2024-08-26 18:30:00.000,,,1,,2024-08-27 02:20:57.845,2024-08-27 02:20:57.845,,sleep_excellent_sleep,,,UTC+0530,,aqfQc5yGC4,com.sec.android.app.shealth,,Sleep.Goal,2024-08-27 18:29:59.999,5f7acad7-3227-48fa-acb7-2a828f75e523,
