com.samsung.shealth.best_records,7006003,3
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,is_shown,extra_data,extra_type,deviceuuid,pkg_name,controller_id,datauuid
9746bf36-536c-9488-c3fd-23e9fad59299,-1,2023-06-19 01:19:49.608,2021-04-02 05:43:44.222,,1617355530320,1,3601787.0,,,-1,e/aPUWpNiJ,com.sec.android.app.shealth,tracker.sport_running,586a4fa8-f998-4628-bfb3-40bd15882ea5,
e039bac9-3ff2-3bca-51df-d6b161e98e22,-1,2023-06-19 01:19:49.619,2021-04-02 05:43:46.092,,1614936267460,1,2701849.0,,,15005,e/aPUWpNiJ,com.sec.android.app.shealth,tracker.sport_others,56b6a948-fada-4eb4-8409-1ace2803fa17,
9746bf36-536c-9488-c3fd-23e9fad59299,-1,2023-06-19 01:19:49.608,2021-04-02 05:43:44.792,,1617355530320,3,5733.398,,,-1,e/aPUWpNiJ,com.sec.android.app.shealth,tracker.sport_running,21163876-59dc-46da-bdb5-69ac79abcced,
314c8556-348b-5d29-e052-11a87ba143a2,-1,2023-06-19 01:19:49.602,2021-04-02 05:43:47.477,,1615972813050,3,4065.972,,,15005,e/aPUWpNiJ,com.sec.android.app.shealth,tracker.sport_others,1935911e-3bbf-4554-b30e-9005a9fae3ff,
4cef2fe0-c98a-d5da-b421-d41fde1ced38,-1,2023-06-19 01:19:49.603,2021-09-28 05:18:15.914,,1632820111700,1,4542200.0,,,15002,aqfQc5yGC4,com.sec.android.app.shealth,tracker.sport_others,39257567-4667-4a88-9869-b06df7286e91,
cdf7bfb2-3fc3-8716-eaff-21f13c3d5dc9,-1,2023-06-19 01:19:49.617,2021-04-02 05:43:46.643,,1615542737700,2,435.093,,,15005,e/aPUWpNiJ,com.sec.android.app.shealth,tracker.sport_others,164255d9-4450-431e-87e8-304104f43eb9,
e039bac9-3ff2-3bca-51df-d6b161e98e22,-1,2023-06-19 01:19:49.619,2021-04-02 05:43:45.937,,1614936267460,4,3.258,,,15005,e/aPUWpNiJ,com.sec.android.app.shealth,tracker.sport_others,34f32368-ec09-4c16-9d94-36e214300259,
e039bac9-3ff2-3bca-51df-d6b161e98e22,-1,2023-06-19 01:19:49.619,2021-04-02 05:43:46.195,,1614936267460,2,416.375,,,15005,e/aPUWpNiJ,com.sec.android.app.shealth,tracker.sport_others,13372a60-689e-4386-8fe8-963260ead07e,
9746bf36-536c-9488-c3fd-23e9fad59299,-1,2023-06-19 01:19:49.608,2021-04-02 05:43:43.982,,1617355530320,4,3.34,,,-1,e/aPUWpNiJ,com.sec.android.app.shealth,tracker.sport_running,f581df1d-7384-4f88-9c64-6b0642ee704f,
f25ea950-6cc4-e589-0847-28fcd454873e,-1,2023-06-19 01:19:49.621,2021-08-12 04:41:33.976,,1628758838800,1,3699249.0,,,15005,aqfQc5yGC4,com.sec.android.app.shealth,tracker.sport_others,6498b1e3-eeff-48a0-820a-1b644e0b21c0,
60780c49-bd5d-1715-2391-be3ba6cac84d,-1,2023-06-19 01:19:49.605,2021-09-09 05:05:06.439,,1631179435780,1,4048419.0,,,15002,aqfQc5yGC4,com.sec.android.app.shealth,tracker.sport_others,3e9fe983-740c-4cfd-892c-d2b9873237f0,
b4ced4f8-9d5a-db8b-e86d-6fe50a812394,-1,2023-06-19 01:19:49.613,2022-06-07 05:28:29.831,,1654594066030,1,5435690.0,,,15002,aqfQc5yGC4,com.sec.android.app.shealth,tracker.sport_others,9e739708-e39f-4aa6-9770-7c0e90be2ffd,
