com.samsung.shealth.exercise,7006003,17
live_data_internal,mission_value,race_target,subset_data,start_longitude,routine_datauuid,total_calorie,completion_status,pace_info_id,activity_type,pace_live_data,sensing_status,source_type,mission_type,ftp,tracking_status,program_id,title,reward_status,heart_rate_sample_count,start_latitude,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,custom_id,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.create_sh_ver,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.modify_sh_ver,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.client_data_id,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.client_data_ver,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.auxiliary_devices,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
,0,,,,,57.19,0,,,,,4,0,,,,,0,0,,0.0,,,,,,1105550,,,,505e2649-d3b3-de18-6a9d-10ad4c6839f7.com.samsung.health.exercise.location_data.json,2019-10-07 15:02:16.380,1001,,,,0.0,,,,,0.0,2019-10-07 15:21:43.246,2019-10-07 15:21:43.246,,,1.5,0.0,0.0,,,1258.14,,57.19,0.0,,,UTC+0530,S7Wp0spWno,,,505e2649-d3b3-de18-6a9d-10ad4c6839f7.com.samsung.health.exercise.live_data.json,,1.401275,com.sec.android.app.shealth,,,,,2019-10-07 15:20:41.930,505e2649-d3b3-de18-6a9d-10ad4c6839f7,,
,0,,,,,91.0,0,,,,,4,0,,,,,0,0,,0.0,,,,,,600000,,,,94183e1d-c70b-fc3b-5536-31ec81ee17eb.com.samsung.health.exercise.location_data.json,2019-11-03 06:42:49.287,11007,,,,0.0,,,,,0.0,2019-11-03 06:53:13.148,2019-11-03 06:53:13.148,,,,0.0,0.0,,,,,91.0,0.0,,,UTC+0530,S7Wp0spWno,,,94183e1d-c70b-fc3b-5536-31ec81ee17eb.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,,2019-11-03 06:52:49.287,94183e1d-c70b-fc3b-5536-31ec81ee17eb,,
,0,,,,,91.0,0,,,,,4,0,,,,,0,0,,0.0,,,,,,600000,,,,ba662ea8-36b3-cf06-88b6-741d1aa0cd00.com.samsung.health.exercise.location_data.json,2019-11-11 05:44:56.284,11007,,,,0.0,,,,,0.0,2019-11-11 05:55:04.454,2019-11-11 05:55:04.454,,,,0.0,0.0,,,,,91.0,0.0,,,UTC+0530,S7Wp0spWno,,,ba662ea8-36b3-cf06-88b6-741d1aa0cd00.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,,2019-11-11 05:54:56.284,ba662ea8-36b3-cf06-88b6-741d1aa0cd00,,
,0,,,,,61.0,0,,,,,4,0,,,,,0,,,0.0,,,,,,1166220,,,,29150fb6-4760-c4b9-35c5-535779bf0a95.com.samsung.health.exercise.location_data.json,2020-02-11 03:10:54.480,1001,,,,,30001,,,,,2020-02-11 03:31:22.182,2020-02-11 03:31:22.182,,,1.7245765,,,,1698,1331.265,,61.0,,,,UTC+0530,S7Wp0spWno,,,29150fb6-4760-c4b9-35c5-535779bf0a95.com.samsung.health.exercise.live_data.json,,1.5157989,com.sec.android.app.shealth,,,,,2020-02-11 03:30:20.700,29150fb6-4760-c4b9-35c5-535779bf0a95,,
,0,,,,,63.0,0,,,,,4,0,,,,,0,,,0.0,,,,,,1471700,,,,34033498-b15e-36f6-c5b5-e46c9b713196.com.samsung.health.exercise.location_data.json,2020-02-10 02:56:27.220,1001,,,,,30001,,,,,2020-02-10 03:22:00.781,2020-02-10 03:22:00.781,,,1.8106778,,,,1689,1304.93,,63.0,,,,UTC+0530,S7Wp0spWno,,,34033498-b15e-36f6-c5b5-e46c9b713196.com.samsung.health.exercise.live_data.json,,1.3900281,com.sec.android.app.shealth,,,,,2020-02-10 03:20:58.920,34033498-b15e-36f6-c5b5-e46c9b713196,,
,0,,,,,98.58,0,,,,,4,0,,,,,0,,,0.0,,,,,,600000,,,,1b2905fe-3b3c-5332-4f61-1476ee088131.com.samsung.health.exercise.location_data.json,2020-02-05 04:01:45.291,11007,,,,,,,,,,2020-02-05 04:13:38.301,2020-02-05 04:13:38.301,,,,,,,,,,98.58,,,,UTC+0530,S7Wp0spWno,,,1b2905fe-3b3c-5332-4f61-1476ee088131.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,,2020-02-05 04:11:45.291,1b2905fe-3b3c-5332-4f61-1476ee088131,,
,0,,,,,40.0,0,,,,,4,0,,,,,0,,,0.0,,,,,,814720,,,,e299d74b-c1dd-74ee-66ea-21c950c27d74.com.samsung.health.exercise.location_data.json,2020-02-04 04:00:23.380,1001,,,,,30001,,,,,2020-02-04 04:14:59.291,2020-02-04 04:14:59.291,,,1.75,,,,1146,897.685,,40.0,,,,UTC+0530,S7Wp0spWno,,,e299d74b-c1dd-74ee-66ea-21c950c27d74.com.samsung.health.exercise.live_data.json,,1.5593171,com.sec.android.app.shealth,,,,,2020-02-04 04:13:58.100,e299d74b-c1dd-74ee-66ea-21c950c27d74,,
,0,,,,,85.0,0,,,,,4,0,,,,,0,,,0.0,,,,,,1438320,,,,8c4353d9-7067-b764-efff-f5209190c20a.com.samsung.health.exercise.location_data.json,2020-02-08 04:31:59.160,1001,,,,,30001,,,,,2020-02-08 04:57:00.523,2020-02-08 04:57:00.523,,,1.8611112,,,,2654,2107.935,,85.0,,,,UTC+0530,S7Wp0spWno,,,8c4353d9-7067-b764-efff-f5209190c20a.com.samsung.health.exercise.live_data.json,,1.6823097,com.sec.android.app.shealth,,,,,2020-02-08 04:55:57.480,8c4353d9-7067-b764-efff-f5209190c20a,,
,0,,,,,110.0,0,,,,,4,0,,,,,0,,,0.0,,,,,,2085400,,,,8d273d90-9b0f-fa18-cc43-54548c9f991b.com.samsung.health.exercise.location_data.json,2020-02-11 01:46:45.300,1001,,,,,30001,,,,,2020-02-11 02:22:33.308,2020-02-11 02:22:33.308,,,1.8333334,,,,2892,2272.712,,110.0,,,,UTC+0530,S7Wp0spWno,,,8d273d90-9b0f-fa18-cc43-54548c9f991b.com.samsung.health.exercise.live_data.json,,1.5648432,com.sec.android.app.shealth,,,,,2020-02-11 02:21:30.700,8d273d90-9b0f-fa18-cc43-54548c9f991b,,
,0,,,,,134.0,0,,,,,4,0,,,,,0,,,0.0,,,,,,2736410,,,,ee771b95-218d-aab9-ff19-49f5cf64bfb1.com.samsung.health.exercise.location_data.json,2020-02-08 03:23:57.490,1001,,,,,30001,,,,,2020-02-08 04:10:34.707,2020-02-08 04:10:34.707,,,2.9166667,,,,3267,2599.388,,134.0,,,,UTC+0530,S7Wp0spWno,,,ee771b95-218d-aab9-ff19-49f5cf64bfb1.com.samsung.health.exercise.live_data.json,,1.4945866,com.sec.android.app.shealth,,,,,2020-02-08 04:09:33.900,ee771b95-218d-aab9-ff19-49f5cf64bfb1,,
