com.samsung.shealth.preferences,7006003,2
text_value,service_id,float_value,update_time,create_time,long_value,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,,,2026-07-05 01:22:32.053,2025-05-23 01:16:41.823,,,,1,w4dMr03254,com.sec.android.app.shealth,,oobe.sensitive_data_available,
,,,2026-07-29 01:38:14.865,2025-05-23 01:16:41.842,,,,1,w4dMr03254,com.sec.android.app.shealth,,oobe.sensitive_data_agreement,
,,,2025-05-23 01:16:36.250,2025-05-23 01:16:41.843,,,,1,w4dMr03254,com.sec.android.app.shealth,,settings.location_agreement,
,,,2026-07-05 01:22:32.054,2025-05-23 01:16:41.868,,,,1,w4dMr03254,com.sec.android.app.shealth,,oobe.shd_access_authority_status,
,,,2026-07-29 01:38:17.056,2025-05-23 01:16:41.874,,,,0,w4dMr03254,com.sec.android.app.shealth,,settings.marketing_agreement,
,,,2025-05-23 01:16:51.455,2025-05-23 01:16:51.465,,,,0,w4dMr03254,com.sec.android.app.shealth,,boost.card.selected_category,
,,,2025-05-23 01:16:51.455,2025-05-23 01:16:51.468,1747963011455,,,,w4dMr03254,com.sec.android.app.shealth,,mow.selected_time,
0,,,2025-05-23 01:16:53.234,2025-05-23 01:16:53.326,,,,,w4dMr03254,com.sec.android.app.shealth,,34-badges.DB.update,
,,,2026-02-26 22:51:35.317,2025-05-23 01:16:53.449,1736878504483,,,,w4dMr03254,com.sec.android.app.shealth,,shealth.6.29.upgrade.date,
,,,2026-08-03 11:53:46.917,2021-08-26 03:18:41.339,,,,1,w4dMr03254,com.sec.android.app.shealth,,step.detectworkout_switch,
,tracker.exercise,,2021-08-26 13:02:43.010,2021-08-01 17:25:28.678,,,34-favorite_list.blob_value.json,,aqfQc5yGC4,com.sec.android.app.shealth,,34-favorite_list,
,tracker.exercise,,2021-08-26 13:03:53.681,2021-08-01 17:25:28.710,,,34-workout_list.blob_value.json,,aqfQc5yGC4,com.sec.android.app.shealth,,34-workout_list,
,,,2021-12-07 10:15:17.349,2021-10-07 03:29:53.770,,,,0,aqfQc5yGC4,com.sec.android.app.shealth,,weight.tracker_version,
