com.samsung.shealth.service_preferences,7006003,1
text_value,service_id,float_value,update_time,create_time,long_value,key,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,,,2025-05-23 01:16:53.027,2025-05-23 01:16:53.027,,oobe.completed,,,1,w4dMr03254,com.sec.android.app.shealth,,553bbd27-58f2-472a-8393-5aba0499330f,
,tracker.daily_activity,,2025-01-14 05:18:15.983,2024-07-27 11:53:30.980,1736851695978,daily_activity_active_calorie_target_achievement_time,,,,Y4t2FxnDL4,com.sec.android.app.shealth,,d92398e4-7ce4-418d-b8ab-7dacd37c9f51,
,tracker.daily_activity,,2025-01-14 12:41:37.806,2024-07-27 15:27:12.341,1736878297737,daily_activity_all_target_achievement_time,,,,aqfQc5yGC4,com.sec.android.app.shealth,,e59a37f8-deb7-4e84-a127-137fc1452471,
,tracker.daily_activity,,2025-01-15 03:03:28.524,2024-07-24 08:21:20.276,1736930008519,daily_activity_yesterday_all_target_checked_time,,,,Y4t2FxnDL4,com.sec.android.app.shealth,,1d714b5b-a8f6-4530-a65f-a52b2f60cbfb,
,tracker.daily_activity,,2025-01-15 13:27:11.484,2024-07-25 06:08:31.012,1736967431482,daily_activity_all_over_half_target_cheer_up_time,,,,Y4t2FxnDL4,com.sec.android.app.shealth,,fcbee7ee-1af3-40ed-99d3-6e0cd9f7d4f9,
,tracker.daily_activity,,2025-01-15 13:42:27.579,2024-07-24 11:56:42.178,1736968347575,daily_activity_step_target_achievement_time,,,,Y4t2FxnDL4,com.sec.android.app.shealth,,42b46592-186f-4841-9523-2252b8415b13,
,tracker.daily_activity,,2025-01-15 14:46:33.189,2024-07-24 16:09:59.495,1736972193169,daily_activity_active_time_target_achievement_time,,,,Y4t2FxnDL4,com.sec.android.app.shealth,,c7f1fc9d-9b68-478d-a3a0-a2656652e606,
"{""05-measure.period"":2,""05-alert.high.enable"":0,""05-alert.low.enable"":0,""08-measure.period"":1,""10-measure.period"":1,""06-skin_temp_enable"":0,""06-snore_setting"":0,""06-snore_setting_new"":0,""37-skin_temp_enable"":0,""34-detection.workout.enable"":0,""44-age.setting.enable"":0,""08-alert.high.enable"":0}",app.settings,,2025-05-27 11:38:00.320,2024-07-24 08:33:21.415,,psm_plus_settings,,,,Y4t2FxnDL4,com.sec.android.app.shealth,,791e315e-699a-473e-8236-b0ed194e336b,
,app.settings,,2025-05-27 11:38:00.406,2024-07-24 08:33:21.455,,psm_plus_enable,,,0,Y4t2FxnDL4,com.sec.android.app.shealth,,c149f0b8-8081-402e-a062-e0a6cb00b989,
,tracker.daily_activity,,2026-07-28 14:12:44.304,2025-01-19 14:55:12.003,1785267764292,da_all_over_half_cheer_up_time,,,,NtSgKtj6xT,com.sec.android.app.shealth,,da_all_over_half_cheer_up_time,
,tracker.daily_activity,,2026-05-05 01:22:12.441,2025-02-06 06:18:30.843,1777939200000,da_monthly_goal_first_day,,,,w4dMr03254,com.sec.android.app.shealth,,da_monthly_goal_first_day,
"{""05-measure.period"":2,""05-alert.high.enable"":0,""05-alert.low.enable"":0,""08-measure.period"":1,""10-measure.period"":1,""06-skin_temp_enable"":0,""06-snore_setting"":0,""06-snore_setting_new"":0,""37-skin_temp_enable"":0,""34-detection.workout.enable"":0,""44-age.setting.enable"":0,""08-alert.high.enable"":0,""84-hearing.sound_monitoring.enabled"":0,""84-hearing.loud_sound_alert.enabled"":0,""84-hearing.daily_limit_alert.enabled"":0}",app.settings,,2026-07-29 14:09:05.955,2025-01-15 18:28:58.819,,psm_plus_settings_new,,,,NtSgKtj6xT,com.sec.android.app.shealth,,psm_plus_settings_new,
,tracker.daily_activity,,2026-07-13 15:34:54.128,2025-01-15 17:45:29.913,1783976694080,da_step_achievement_time,,,,NtSgKtj6xT,com.sec.android.app.shealth,,da_step_achievement_time,
,tracker.daily_activity,,2026-07-13 15:34:54.238,2025-01-16 14:32:16.376,1783976694198,da_all_achievement_time,,,,NtSgKtj6xT,com.sec.android.app.shealth,,da_all_achievement_time,
,tracker.daily_activity,,2026-08-03 05:23:12.619,2025-01-16 05:05:23.597,1785754392601,da_active_calorie_achievement_time,,,,NtSgKtj6xT,com.sec.android.app.shealth,,da_active_calorie_achievement_time,
,app.settings,,2026-08-03 05:41:45.380,2025-01-15 18:28:58.811,,psm_plus_enable_new,,,1,NtSgKtj6xT,com.sec.android.app.shealth,,psm_plus_enable_new,
,tracker.daily_activity,,2026-08-03 07:16:08.063,2025-01-15 17:45:30.043,1785761100266,da_active_time_achievement_time,,,,NtSgKtj6xT,com.sec.android.app.shealth,,da_active_time_achievement_time,
,tracker.daily_activity,,2026-08-03 03:28:13.653,2025-05-27 11:14:50.785,1785747493634,da_yesterday_all_checked_time,,,,NtSgKtj6xT,com.sec.android.app.shealth,,da_yesterday_all_checked_time,
,tracker.cycle,,2026-07-05 01:22:34.427,2025-09-28 09:37:47.502,,cycle.shd_consent_status,,,1,w4dMr03254,com.sec.android.app.shealth,,cycle.shd_consent_status,
,tracker.medication,,2026-07-05 01:22:40.657,2025-09-28 09:37:47.615,,medication.shd_consent_status,,,1,w4dMr03254,com.sec.android.app.shealth,,medication.shd_consent_status,
,mood,,2026-02-28 02:49:30.311,2026-02-28 02:49:30.311,,meditation_supported,,,1,w4dMr03254,com.sec.android.app.shealth,,f0bb60cd-5574-48e0-959b-8e6104f8fa96,
,tracker.daily_activity,,2026-04-26 13:48:41.910,2026-03-25 10:59:38.640,1777231121890,da_all_near_cheer_up_time,,,,NtSgKtj6xT,com.sec.android.app.shealth,,da_all_near_cheer_up_time,
,tracker.vitals,,2026-08-02 20:11:44.048,2026-07-02 18:30:02.189,,vitals_screen_type,,,4,w4dMr03254,com.sec.android.app.shealth,,vitals_screen_type,
,tracker.vitals,,2026-08-02 20:11:44.286,2026-07-02 18:30:02.194,,vitals_stamp_count,,,27,w4dMr03254,com.sec.android.app.shealth,,vitals_stamp_count,
"[1783382400000,1783468800000,1783555200000,1783641600000,1783728000000,1783814400000,1783900800000,1783987200000,1784073600000,1784160000000,1784246400000,1784332800000,1784419200000,1784505600000,1784592000000,1784678400000,1784764800000,1784851200000,1784937600000,1785024000000,1785110400000,1785196800000,1785283200000,1785369600000,1785456000000,1785542400000,1785628800000]",tracker.vitals,,2026-08-02 20:11:44.470,2026-07-02 18:30:02.196,,vitals_stamp_dates,,,,w4dMr03254,com.sec.android.app.shealth,,vitals_stamp_dates,
